train_28872, bare_ground blooming blow_down cloudy conventional_mine haze partly_cloudy water, artisinal_mine partly_cloudy primary water
train_29642, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, agriculture clear primary selective_logging
train_1219, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_29544, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, blooming clear primary
train_1154, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, agriculture clear cultivation primary water
train_1329, clear cloudy selective_logging slash_burn, clear primary water
train_3113, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, agriculture cultivation haze primary road water
train_2317, artisinal_mine blooming blow_down cloudy primary selective_logging slash_burn, agriculture clear cultivation primary water
train_248, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, haze primary
train_39617, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, agriculture clear cultivation primary slash_burn
train_25764, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, artisinal_mine partly_cloudy primary road water
train_27177, artisinal_mine blooming blow_down cloudy primary selective_logging slash_burn, artisinal_mine bare_ground clear habitation primary road water
train_3270, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, haze primary
train_1331, artisinal_mine blooming blow_down clear cloudy primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary road
train_26970, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, artisinal_mine clear primary road water
train_2305, clear cloudy selective_logging slash_burn, agriculture clear habitation primary road water
train_28156, clear cloudy primary selective_logging slash_burn, artisinal_mine clear primary road water
train_785, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_28221, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, blooming clear primary
train_766, clear cloudy selective_logging slash_burn, agriculture partly_cloudy primary road
train_1228, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, agriculture clear primary road
train_2051, clear cloudy selective_logging slash_burn, agriculture clear cultivation habitation primary road
train_31081, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, blooming clear primary
train_1197, clear cloudy selective_logging slash_burn, agriculture cultivation habitation partly_cloudy primary road
train_693, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, agriculture clear water
train_31246, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, blooming clear primary
train_29268, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, blooming clear primary
train_1318, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_1043, clear cloudy selective_logging slash_burn, agriculture clear habitation primary road
train_26898, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, clear primary selective_logging
train_1407, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, agriculture clear cultivation primary water
train_381, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, agriculture clear cultivation habitation primary road
train_10771, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, bare_ground clear primary water
train_1045, clear cloudy selective_logging slash_burn, agriculture clear cultivation habitation primary road water
train_39638, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, agriculture clear cultivation habitation primary road slash_burn
train_225, clear cloudy selective_logging slash_burn, agriculture clear cultivation habitation primary road
train_371, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, clear primary
train_287, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_29756, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, artisinal_mine clear primary water
train_4626, agriculture, cloudy
train_2268, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, agriculture clear habitation primary road
train_2979, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, haze primary
train_11010, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, bare_ground clear primary
train_1280, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn water, agriculture cultivation partly_cloudy primary
train_30969, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, artisinal_mine clear primary road water
train_29743, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, blooming clear primary
train_3207, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, haze primary
train_2875, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, agriculture habitation partly_cloudy primary road
train_1441, clear cloudy selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_974, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, bare_ground clear primary road water
train_27352, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, blooming clear cultivation primary
train_4038, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, cloudy
train_244, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, clear primary
train_10925, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, bare_ground clear road
train_3265, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, haze primary
train_3796, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, cloudy
train_26012, artisinal_mine blooming blow_down cloudy primary selective_logging slash_burn, artisinal_mine clear primary water
train_1469, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_3316, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, haze primary
train_800, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, agriculture haze primary
train_3344, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, haze primary
train_28500, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, clear cultivation primary road selective_logging
train_762, clear cloudy primary selective_logging slash_burn, agriculture clear habitation primary road
train_1166, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, clear primary water
train_2435, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_1237, artisinal_mine blooming blow_down cloudy primary selective_logging slash_burn, agriculture clear cultivation primary road
train_10924, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, bare_ground clear primary selective_logging slash_burn water
train_12563, clear cloudy selective_logging slash_burn, artisinal_mine bare_ground clear cultivation primary water
train_2250, clear cloudy selective_logging slash_burn, agriculture clear cultivation primary water
train_229, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, agriculture clear cultivation primary
train_1266, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, agriculture partly_cloudy primary
train_28268, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, blooming clear primary
train_25480, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, blooming clear primary
train_29964, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, blooming clear primary
train_322, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, clear primary road water
train_26391, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, blooming partly_cloudy primary
train_1317, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_26245, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn water, artisinal_mine clear primary road water
train_701, clear cloudy selective_logging slash_burn, agriculture clear habitation primary water
train_4717, artisinal_mine blow_down cloudy primary road selective_logging slash_burn, cloudy
train_231, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_31790, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, clear primary road selective_logging
train_27999, clear cloudy selective_logging slash_burn, artisinal_mine clear primary water
train_4263, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, cloudy
train_1176, artisinal_mine blooming blow_down clear cloudy primary selective_logging slash_burn, agriculture cultivation habitation partly_cloudy primary road
train_1179, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, partly_cloudy primary road
train_27247, clear cloudy primary selective_logging, artisinal_mine partly_cloudy primary water
train_324, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, agriculture clear primary water
train_786, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, agriculture clear cultivation primary
train_3577, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, haze primary
train_29099, clear cloudy selective_logging slash_burn, artisinal_mine clear primary
train_26869, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, blooming clear primary
train_31149, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, blooming clear primary
train_246, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, clear primary
train_1108, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, agriculture clear primary road
train_4258, clear cloudy selective_logging slash_burn, cloudy
train_1240, clear cloudy primary selective_logging slash_burn, partly_cloudy primary
train_31137, artisinal_mine blooming blow_down clear cloudy primary selective_logging slash_burn, clear primary selective_logging
train_31305, clear cloudy selective_logging slash_burn, artisinal_mine clear primary road water
train_1384, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, agriculture haze primary water
train_1247, clear cloudy selective_logging slash_burn, partly_cloudy primary water
train_1012, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, clear cultivation primary road water
train_802, artisinal_mine blooming blow_down clear cloudy primary selective_logging slash_burn, agriculture clear cultivation habitation primary
train_222, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, agriculture clear cultivation habitation primary road water
train_3259, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, haze primary
train_858, clear cloudy primary selective_logging slash_burn, agriculture clear primary road
train_304, artisinal_mine blooming blow_down clear cloudy primary selective_logging slash_burn, agriculture clear primary
train_24592, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, clear primary selective_logging
train_1016, artisinal_mine blooming blow_down clear cloudy primary selective_logging slash_burn, clear primary road
train_3146, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, haze primary
train_250, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, clear primary
train_349, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, agriculture clear primary
train_851, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, agriculture clear cultivation primary road
train_2438, artisinal_mine blooming blow_down cloudy primary road selective_logging slash_burn, agriculture clear habitation primary road
train_12082, artisinal_mine blooming blow_down clear cloudy primary road selective_logging slash_burn, bare_ground clear primary
train_2798, clear cloudy selective_logging slash_burn, clear habitation primary road water
