train_28872, primary, artisinal_mine partly_cloudy primary water
train_29642, blooming blow_down clear cultivation primary selective_logging, agriculture clear primary selective_logging
train_1219, clear primary, partly_cloudy primary
train_29544, clear primary, blooming clear primary
train_1154, blooming clear primary, agriculture clear cultivation primary water
train_1329, clear primary, clear primary water
train_3113, clear primary, agriculture cultivation haze primary road water
train_2317, clear primary, agriculture clear cultivation primary water
train_248, clear primary, haze primary
train_39617, blooming clear primary, agriculture clear cultivation primary slash_burn
train_25764, clear primary, artisinal_mine partly_cloudy primary road water
train_27177, clear primary, artisinal_mine bare_ground clear habitation primary road water
train_3270, primary, haze primary
train_1331, clear primary, agriculture cultivation partly_cloudy primary road
train_26970, clear primary, artisinal_mine clear primary road water
train_2305, primary, agriculture clear habitation primary road water
train_28156, clear primary, artisinal_mine clear primary road water
train_785, blooming clear primary, agriculture cultivation partly_cloudy primary
train_28221, clear primary, blooming clear primary
train_766, clear primary, agriculture partly_cloudy primary road
train_1228, clear primary, agriculture clear primary road
train_2051, clear primary, agriculture clear cultivation habitation primary road
train_31081, blooming clear primary, blooming clear primary
train_1197, clear primary, agriculture cultivation habitation partly_cloudy primary road
train_693, clear primary, agriculture clear water
train_31246, blooming clear primary, blooming clear primary
train_29268, blooming clear primary, blooming clear primary
train_1318, clear primary, partly_cloudy primary
train_1043, clear primary, agriculture clear habitation primary road
train_26898, clear primary, clear primary selective_logging
train_1407, clear primary, agriculture clear cultivation primary water
train_381, clear primary, agriculture clear cultivation habitation primary road
train_10771, clear primary, bare_ground clear primary water
train_1045, clear primary, agriculture clear cultivation habitation primary road water
train_39638, clear primary, agriculture clear cultivation habitation primary road slash_burn
train_225, clear primary, agriculture clear cultivation habitation primary road
train_371, blooming clear primary, clear primary
train_287, blooming clear primary, partly_cloudy primary
train_29756, clear primary, artisinal_mine clear primary water
train_4626, cloudy, cloudy
train_2268, clear primary, agriculture clear habitation primary road
train_2979, cloudy primary, haze primary
train_11010, clear primary, bare_ground clear primary
train_1280, clear primary, agriculture cultivation partly_cloudy primary
train_30969, clear primary, artisinal_mine clear primary road water
train_29743, blooming clear primary, blooming clear primary
train_3207, clear primary, haze primary
train_2875, clear primary, agriculture habitation partly_cloudy primary road
train_1441, clear primary, agriculture cultivation partly_cloudy primary
train_974, clear primary, bare_ground clear primary road water
train_27352, blooming blow_down clear cultivation primary selective_logging, blooming clear cultivation primary
train_4038, primary, cloudy
train_244, clear primary, clear primary
train_10925, clear primary, bare_ground clear road
train_3265, clear primary, haze primary
train_3796, cloudy primary, cloudy
train_26012, clear primary, artisinal_mine clear primary water
train_1469, clear primary, partly_cloudy primary
train_3316, clear primary, haze primary
train_800, clear primary, agriculture haze primary
train_3344, cloudy primary, haze primary
train_28500, blooming clear primary, clear cultivation primary road selective_logging
train_762, clear primary, agriculture clear habitation primary road
train_1166, primary, clear primary water
train_2435, clear primary, agriculture cultivation partly_cloudy primary
train_1237, clear primary, agriculture clear cultivation primary road
train_10924, clear primary, bare_ground clear primary selective_logging slash_burn water
train_12563, clear primary, artisinal_mine bare_ground clear cultivation primary water
train_2250, clear primary, agriculture clear cultivation primary water
train_229, blooming clear primary, agriculture clear cultivation primary
train_1266, blooming clear primary, agriculture partly_cloudy primary
train_28268, clear primary, blooming clear primary
train_25480, clear primary, blooming clear primary
train_29964, blooming clear primary, blooming clear primary
train_322, clear primary, clear primary road water
train_26391, blooming clear primary, blooming partly_cloudy primary
train_1317, clear primary, agriculture cultivation partly_cloudy primary
train_26245, clear primary, artisinal_mine clear primary road water
train_701, clear primary, agriculture clear habitation primary water
train_4717, cloudy, cloudy
train_231, clear primary, partly_cloudy primary
train_31790, clear primary, clear primary road selective_logging
train_27999, primary, artisinal_mine clear primary water
train_4263, cloudy primary, cloudy
train_1176, blooming clear primary, agriculture cultivation habitation partly_cloudy primary road
train_1179, clear primary, partly_cloudy primary road
train_27247, clear primary, artisinal_mine partly_cloudy primary water
train_324, clear primary, agriculture clear primary water
train_786, clear primary, agriculture clear cultivation primary
train_3577, clear primary, haze primary
train_29099, primary, artisinal_mine clear primary
train_26869, blooming clear primary, blooming clear primary
train_31149, blooming blow_down clear primary, blooming clear primary
train_246, blooming clear primary, clear primary
train_1108, clear primary, agriculture clear primary road
train_4258, cloudy, cloudy
train_1240, clear primary, partly_cloudy primary
train_31137, blooming blow_down clear cultivation primary selective_logging, clear primary selective_logging
train_31305, clear primary, artisinal_mine clear primary road water
train_1384, clear primary, agriculture haze primary water
train_1247, blooming clear primary, partly_cloudy primary water
train_1012, clear primary, clear cultivation primary road water
train_802, blooming clear primary, agriculture clear cultivation habitation primary
train_222, clear primary, agriculture clear cultivation habitation primary road water
train_3259, clear primary, haze primary
train_858, blooming clear primary, agriculture clear primary road
train_304, clear primary, agriculture clear primary
train_24592, clear primary, clear primary selective_logging
train_1016, blooming blow_down clear cultivation primary selective_logging, clear primary road
train_3146, clear primary, haze primary
train_250, blooming clear primary, clear primary
train_349, clear primary, agriculture clear primary
train_851, clear primary, agriculture clear cultivation primary road
train_2438, clear primary, agriculture clear habitation primary road
train_12082, clear primary, bare_ground clear primary
train_2798, clear primary, clear habitation primary road water
train_24901, blooming clear primary, clear primary selective_logging
train_2155, clear primary, agriculture clear cultivation primary
train_4334, , cloudy
train_28456, blooming blow_down clear primary, clear primary selective_logging
train_1177, primary, partly_cloudy primary
train_2054, blooming clear primary, agriculture clear cultivation primary
train_316, clear primary, agriculture clear primary
train_1287, clear primary, agriculture partly_cloudy primary road
train_1101, clear primary, clear water
train_28541, blooming clear primary, agriculture cultivation partly_cloudy primary road selective_logging
train_1389, primary, haze primary road water
train_11580, clear primary, bare_ground clear primary water
train_29746, clear primary, clear primary selective_logging
train_3216, cloudy, haze primary
train_4641, cloudy, cloudy
train_1054, clear primary, agriculture clear habitation primary road
train_1440, blooming clear primary, partly_cloudy primary
train_1094, clear primary, agriculture cultivation partly_cloudy primary
train_856, clear primary, agriculture partly_cloudy primary
train_770, clear primary, agriculture clear cultivation habitation primary road
train_269, blooming blow_down clear cultivation primary selective_logging, clear primary
train_30196, blooming clear primary, clear primary selective_logging water
train_230, primary, agriculture bare_ground habitation partly_cloudy primary road
train_3009, clear primary, agriculture clear habitation primary road
train_24568, clear primary, clear cultivation primary road selective_logging
train_11731, clear primary, bare_ground clear primary
train_2339, clear primary, agriculture clear habitation primary road
train_1165, blooming clear primary, clear primary road water
train_3645, cloudy, cloudy
train_256, blooming clear primary, agriculture clear cultivation primary
train_26163, clear primary, blooming clear primary
train_4488, cloudy, cloudy
train_3423, primary, haze primary
train_3268, clear primary, agriculture haze primary
train_866, clear primary, agriculture clear habitation primary road
train_26945, clear primary, artisinal_mine bare_ground clear water
train_739, clear primary, agriculture clear habitation primary
train_26628, clear primary, artisinal_mine clear primary water
train_1264, clear cloudy, partly_cloudy primary
train_299, blooming clear primary, clear primary
train_29942, blooming clear primary, clear primary road selective_logging
train_2807, clear primary, agriculture clear habitation primary road water
train_27057, blooming clear primary, blooming clear primary
train_2436, blooming clear primary, clear cultivation habitation primary road
train_1159, clear primary, agriculture clear cultivation primary road
train_245, blooming clear primary, blooming clear primary
train_241, clear primary, agriculture haze primary road
train_30675, blooming clear primary, clear primary road selective_logging
train_4534, cloudy, cloudy
train_1173, clear primary, agriculture clear habitation primary road
train_2143, blooming clear primary, agriculture clear cultivation primary water
train_295, clear primary, clear primary water
train_4303, cloudy, cloudy
train_2820, clear primary, clear habitation primary road
train_26135, clear primary, blooming clear primary
train_957, clear primary, clear habitation primary road
train_11102, clear primary, bare_ground clear water
train_25075, clear primary, artisinal_mine clear primary water
train_27687, clear primary, agriculture artisinal_mine clear primary
train_26578, clear primary, artisinal_mine clear primary road
train_4834, clear primary, cloudy
train_2452, clear primary, agriculture clear cultivation primary
train_10423, clear primary, bare_ground clear habitation primary water
train_1239, clear primary, agriculture partly_cloudy primary
train_333, blooming clear primary, agriculture clear primary road
train_1419, clear primary, clear primary road water
train_1110, blooming clear primary, partly_cloudy primary
train_291, blooming blow_down clear cultivation primary selective_logging, agriculture clear primary road
train_4603, cloudy, cloudy
train_30802, blooming clear primary, clear primary road selective_logging
train_10295, clear primary, agriculture bare_ground clear primary road
