train_28872, artisinal_mine bare_ground clear conventional_mine habitation partly_cloudy primary road water, artisinal_mine partly_cloudy primary water
train_29642, bare_ground blooming clear cultivation partly_cloudy, agriculture clear primary selective_logging
train_1219, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, partly_cloudy primary
train_29544, blooming blow_down clear cultivation habitation primary selective_logging, blooming clear primary
train_1154, bare_ground blooming clear partly_cloudy primary, agriculture clear cultivation primary water
train_1329, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, clear primary water
train_3113, artisinal_mine bare_ground blooming clear conventional_mine cultivation habitation partly_cloudy primary road water, agriculture cultivation haze primary road water
train_2317, agriculture bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary water
train_248, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary
train_39617, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary slash_burn
train_25764, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine partly_cloudy primary road water
train_27177, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, artisinal_mine bare_ground clear habitation primary road water
train_3270, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary
train_1331, agriculture bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging slash_burn, agriculture cultivation partly_cloudy primary road
train_26970, bare_ground blooming clear cultivation habitation primary road selective_logging water, artisinal_mine clear primary road water
train_2305, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear habitation primary road water
train_28156, agriculture artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine clear primary road water
train_785, bare_ground blooming blow_down clear cloudy conventional_mine partly_cloudy primary selective_logging slash_burn, agriculture cultivation partly_cloudy primary
train_28221, blooming blow_down clear cultivation habitation primary selective_logging slash_burn, blooming clear primary
train_766, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture partly_cloudy primary road
train_1228, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear primary road
train_2051, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear cultivation habitation primary road
train_31081, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, blooming clear primary
train_1197, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture cultivation habitation partly_cloudy primary road
train_693, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear water
train_31246, bare_ground blooming clear partly_cloudy primary, blooming clear primary
train_29268, bare_ground blooming blow_down clear conventional_mine cultivation partly_cloudy selective_logging slash_burn, blooming clear primary
train_1318, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, partly_cloudy primary
train_1043, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear habitation primary road
train_26898, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, clear primary selective_logging
train_1407, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation primary water
train_381, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation habitation primary road
train_10771, blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging slash_burn water, bare_ground clear primary water
train_1045, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation habitation primary road water
train_39638, blooming blow_down clear cultivation habitation primary selective_logging slash_burn, agriculture clear cultivation habitation primary road slash_burn
train_225, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear cultivation habitation primary road
train_371, bare_ground blooming clear partly_cloudy primary slash_burn, clear primary
train_287, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary selective_logging slash_burn water, partly_cloudy primary
train_29756, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, artisinal_mine clear primary water
train_4626, cloudy, cloudy
train_2268, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear habitation primary road
train_2979, bare_ground blooming blow_down cloudy cultivation habitation haze partly_cloudy primary road selective_logging, haze primary
train_11010, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging slash_burn water, bare_ground clear primary
train_1280, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, agriculture cultivation partly_cloudy primary
train_30969, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, artisinal_mine clear primary road water
